FOLD,SHIP_NO,DWG_NO,TRUE_CODE,PRED_CODE
1,408506,SS14BA201,1_G,"1_1, 1_G"
1,408506,SS13BA201,1_G,"1_1, 1_G"
1,251706,WA280EB11,1_G,"1_G, 1_1"
1,251206,WA280EB11,1_G,"1_G, 1_1"
1,409306,WE51SF741,1_G,"1_G, 1_5"
1,409206,WS37SF6H3,1_G,"1_G, 1_8"
1,247306,WH91CB721,1_G,"1_G, 1_1"
1,242106,SE51BC101,1_G,"1_1, 1_2"
1,251606,WA230EB11,1_G,"1_G, 1_1"
1,251506,WA230EB11,1_G,"1_G, 1_1"
1,251106,WA230EB11,1_G,"1_G, 1_1"
1,252006,WH21CD713,1_G,"1_G, 1_1"
1,251506,WH21CD713,1_G,"1_G, 1_1"
1,251206,WH21CD713,1_G,"1_G, 1_1"
1,252106,WN31CT712,1_G,"1_G, 1_D"
1,252006,WN41CT713,1_G,"1_G, 1_2"
1,251806,WN31CT712,1_G,"1_G, 1_D"
1,251506,WN31CT813,1_G,"1_G, 1_1"
1,251406,WN31CT813,1_G,"1_G, 1_1"
1,251206,WN31CT813,1_G,"1_G, 1_1"
1,251406,WH11CY711,1_G,"1_G, 1_1"
1,814706,2A600H001,1_G,"1_G, 1_2"
1,814206,WS73PF741,1_G,"1_2, 1_1"
1,244606,NE41PB721,1_G,"1_G, 6_1"
1,251506,WH51CH719,1_G,"1_G, 1_D"
1,246706,1A000E009,1_G,"1_G, 1_1"
1,248106,WA500FB51,1_G,"1_G, 1_D"
1,814806,1A000E003,1_G,"1_G, 1_1"
1,254206,WH22CH717,1_G,"1_G, 1_1"
1,242606,SF22CA201,1_G,"1_1, 1_G"
1,242006,SF22CA201,1_G,"1_1, 1_G"
1,S09206,SE41BC101,1_G,"1_1, 1_G"
1,S09206,SE41BA201,1_G,"1_1, 5_2"
1,814806,WN33PT713,1_G,"1_G, 1_1"
1,814106,WA600TB61,1_G,"1_G, 1_1"
1,248106,WA400FB41,1_G,"1_G, 1_1"
1,814606,WH15CH716,1_G,"1_G, 1_1"
1,252206,WH11CY711,1_G,"1_G, 1_1"
1,408506,SE12CA201,1_G,"1_1, 1_2"
1,251306,WH11CY711,1_G,"1_G, 1_1"
1,252806,WH51CY711,1_G,"1_G, 1_1"
1,S41006,SS17BA201,1_G,"1_1, 1_G"
1,S41006,SS15BA201,1_G,"1_1, 1_G"
1,242306,WA200EB11,1_G,"1_G, 1_1"
1,814606,WS32PE711,1_G,"1_G, 1_3"
1,814806,WA600FB63,1_G,"1_G, 1_1"
1,252706,WH51CH719,1_G,"1_G, 1_D"
1,251506,WD91SF753,1_G,"1_G, 1_2"
1,244606,WE51SB721,1_G,"1_1, 1_G"
1,814706,WE11CB621,1_G,"1_G, 1_2"
1,251306,WD91SF753,1_G,"1_G, 1_2"
1,254406,WH11CY711,1_G,"1_G, 1_1"
1,251306,WH11CY711,1_G,"1_G, 1_1"
1,814806,2A200H002,1_G,"1_G, 1_1"
1,247506,SE51BA201,1_G,"1_1, 1_2"
1,814606,WA600TB61,1_G,"1_G, 1_1"
1,252106,WH91CE711,1_G,"1_G, 1_3"
1,251706,WH91CE711,1_G,"1_G, 1_3"
1,251506,WH91CE711,1_G,"1_G, 1_3"
1,251406,WH91CE711,1_G,"1_G, 1_3"
1,251106,WH91CE711,1_G,"1_G, 1_3"
1,S41006,SD16BA201,1_G,"1_1, 5_2"
1,S41006,SD14BA201,1_G,"1_1, 5_2"
1,250006,WA500FB51,1_G,"1_G, 1_D"
1,242206,WA200EB11,1_G,"1_G, 1_1"
1,241506,WA200EB11,1_G,"1_G, 1_1"
1,814706,1A000E008,1_G,"1_G, 1_1"
1,408506,SE11CA201,1_G,"1_1, 1_2"
1,408906,WH41CY711,1_G,1_G
1,254206,WH12CT711,1_G,"1_1, 1_G"
1,254306,WF61SE711,1_G,"1_G, 1_2"
1,238806,WA500TB52,1_G,"1_G, 1_1"
1,247506,WA500FB51,1_G,"1_G, 1_D"
1,253006,WN31CE711,1_G,"1_G, 1_2"
1,242706,SD33CA201,1_G,"1_1, 1_G"
1,242006,SD33CA201,1_G,"1_1, 1_G"
1,242606,SD37CA201,1_G,"1_1, 1_G"
1,242606,SD36CA201,1_G,"1_1, 1_G"
1,251906,WH11CY711,1_G,"1_G, 1_1"
1,814006,WH12CF782,1_G,"1_G, 1_1"
1,813906,WH12CF782,1_G,"1_G, 1_1"
1,814506,1A000E003,1_G,"1_G, 1_1"
1,814006,WS64SF741,1_G,"1_1, 1_G"
1,812406,WD13PF741,1_G,"1_G, 1_1"
1,812306,WD13SF741,1_G,"1_G, 1_1"
1,812306,WH11CY711,1_G,"1_G, 1_1"
1,408806,WA500FB41,1_G,"1_G, 1_6"
1,237906,WE52SE711,1_G,"1_G, 1_1"
1,249906,WA100FB12,1_G,"1_G, 2_4"
1,232806,WH11CY711,1_G,"1_G, 1_1"
1,814706,WE25PB721,1_G,1_G
1,S09006,SS34BA201,1_G,"1_1, 5_2"
1,S09006,SS33BA201,1_G,"1_1, 5_2"
1,245406,WA240KB24,1_G,"1_G, 1_1"
1,241606,WH21CD711,1_G,"1_G, 1_1"
1,241406,WH21CD711,1_G,"1_G, 1_1"
1,246106,WH11CH716,1_G,"1_G, 1_1"
1,244506,WH11CH716,1_G,"1_G, 1_1"
1,247806,WA100FB12,1_G,"1_G, 2_4"
1,251906,WA210BB21,1_G,"1_G, 1_1"
1,251706,WA210BB21,1_G,"1_G, 1_1"
1,S40306,NH11CT711,1_G,"1_1, 1_2"
1,247606,1A000E006,1_G,"1_G, 1_1"
1,246506,1A000E006,1_G,"1_G, 1_1"
1,246406,1A000E006,1_G,"1_G, 1_1"
1,244606,WA400FB41,1_G,"1_G, 1_1"
1,244806,WA200EB11,1_G,"1_G, 1_1"
1,244706,WE31SB721,1_G,"1_1, 1_G"
1,244806,WE31SB721,1_G,"1_1, 1_G"
1,240106,WE31SB721,1_G,"1_1, 1_G"
1,238706,W1D16T852,1_G,"1_1, 1_G"
1,814506,WA100TB11,1_G,"1_G, 1_3"
1,S40306,NH11CT711,1_G,"1_1, 1_2"
1,249906,WF51CF761,1_G,"1_G, 1_2"
1,247806,WF51CF761,1_G,"1_G, 1_2"
1,247706,WF51CF761,1_G,"1_G, 1_2"
1,246506,WF51CF761,1_G,"1_G, 1_2"
1,246406,WF51CF761,1_G,"1_G, 1_2"
1,237906,WH21CD713,1_G,"1_G, 1_1"
1,238006,WF41CF761,1_G,"1_G, 1_5"
1,813406,WA400TB43,1_G,"1_1, 1_G"
1,814106,WH23PD713,1_G,"1_G, 1_1"
1,814506,WA500FB51,1_G,"1_G, 1_D"
1,814006,WE42SF749,1_G,"1_2, 1_1"
1,813906,WE42SF749,1_G,"1_2, 1_1"
1,249006,WH21CY711,1_G,"1_G, 1_1"
1,814606,1A000E008,1_G,"1_G, 1_1"
1,S41806,WH41CH716,1_G,1_A
1,S40706,NH11CY712,1_G,"1_G, 1_1"
1,814606,WS12ST754,1_G,"1_1, 1_G"
1,811806,WH32CB721,1_G,"1_G, 4_1"
1,247406,SB76BA201,1_G,"1_1, 1_A"
1,241306,WH11CH716,1_G,"1_G, 1_1"
1,814706,WE41PW728,1_G,"1_G, 1_F"
1,814606,WE41PW728,1_G,"1_G, 1_F"
1,242206,WE31SB721,1_G,"1_1, 1_G"
1,814506,WA400EB11,1_G,"1_G, 1_1"
1,244506,WB11CT731,1_G,"1_G, 1_1"
1,242406,SE12CA201,1_G,"1_1, 1_G"
1,246706,SB13BA201,1_G,"1_1, 5_2"
1,241506,WH11CH716,1_G,"1_G, 1_1"
1,252206,SS13BA201,1_G,"1_1, 1_G"
1,252006,SS13BA201,1_G,"1_1, 1_G"
1,242306,SD13BC105,1_G,"1_1, 1_5"
1,248006,1A000E006,1_G,"1_G, 1_1"
1,241606,W1D18F856,1_G,"1_G, 1_D"
1,241306,W1D18F856,1_G,"1_G, 1_D"
1,245406,1A000E006,1_G,"1_G, 1_1"
1,408806,WH31CH716,1_G,"1_1, 1_G"
1,814106,WN82SF712,1_G,"1_G, 1_1"
1,242406,SE11CA201,1_G,"1_1, 1_G"
1,246706,SE51BA201,1_G,"1_1, 1_2"
1,810306,WH11CW711,1_G,"1_G, 4_1"
1,815006,1A000E006,1_G,"1_G, 1_1"
1,814706,1A000E006,1_G,"1_G, 1_1"
1,252206,SD18BA201,1_G,"1_1, 1_G"
1,252206,SD14BA201,1_G,"1_1, 1_G"
1,252106,SD11BA201,1_G,"1_1, 1_G"
1,247606,WH11CH716,1_G,"1_G, 1_1"
1,246306,WH11CH716,1_G,"1_G, 1_1"
1,814606,WA230KB24,1_G,"1_G, 1_D"
1,249106,NH11CF781,1_G,"1_G, 1_1"
1,810306,WH61CW724,1_G,"6_1, 1_G"
1,245206,1A200E001,1_G,"1_G, 1_1"
1,814006,WN31ST713,1_G,"1_G, 1_1"
1,251806,SD14BA201,1_G,"1_1, 1_G"
1,251706,SD17BA201,1_G,"1_1, 1_G"
1,251606,SD17BA201,1_G,"1_1, 1_G"
1,251506,SD16BA201,1_G,"1_1, 1_G"
